,OSOURCE,STATE,ZIP,CLUSTER,HOMEOWNR,GENDER,DATASRCE,SOLIH,VETERANS,RFA_2,RFA_2R,GEOCODE2,DOMAIN_A,DOMAIN_B
71245,ESN,WI,54929,48,U,M,3,,Y,L1G,L,D,R,2
71246,NWD,FL,33162,8,U,F,1,,,L1F,L,A,U,3
71247,NSH,OTHER,40216,16,H,M,1,,,L1G,L,B,S,2
71248,MBC,WI,54166,46,U,M,1,,,L1G,L,D,R,2
71249,SYN,IN,46901,30,H,F,3,,,L1F,L,C,C,3
71250,MM3,IN,47438,43,U,M,3,,,L4F,L,D,R,2
71251,HJR,CA,91405,4,H,U,3,,Y,L1F,L,A,U,2
71252,SSS,WI,53545,27,U,F,3,12,,L2E,L,C,C,2
71253,STR,OTHER,17055,46,U,,3,,,L1F,L,B,R,2
71254,WKB,IL,61443,41,H,F,2,,,L1F,L,B,T,3
71255,GRI,OTHER,42028,53,U,,3,,,L3G,L,D,R,3
71256,STR,FL,34293,29,U,F,3,,,L1G,L,B,C,2
71257,ARG,WA,98226,40,U,F,3,,,L4G,L,C,T,2
71258,AEW,IL,60657,1,U,F,2,,,L2F,L,A,U,1
71259,AGR,OTHER,70070,35,H,M,3,,,L3E,L,B,T,1
71260,SYN,FL,34653,33,H,F,3,,,L3E,L,A,C,3
71261,COS,TX,77049,21,H,F,3,,,L2G,L,A,S,3
71262,COH,OTHER,73945,49,U,F,2,,,L2G,L,D,R,2
71263,WKB,OTHER,97527-,37,H,F,2,,,L1F,L,C,T,2
71264,PRV,FL,32118,26,H,M,3,,,L1E,L,B,C,2
71265,DNA,OTHER,66216,11,H,M,3,,,L2F,L,B,S,1
71266,IMP,MI,48322,11,H,M,3,,,L2F,L,A,S,1
71267,L23,TX,78759,15,H,M,3,,,L1G,L,B,S,1
71268,AMB,TX,76634,53,H,F,2,,,L1G,L,D,R,3
71269,HHS,OTHER,88030,36,U,M,2,,Y,L3E,L,D,T,2
71270,PBL,CA,92127,2,U,M,3,,,L4F,L,A,U,1
71271,MBC,TX,76088,40,H,F,3,,,L2G,L,A,R,2
71272,KEN,TX,77630,36,H,F,2,,,L2F,L,B,T,2
71273,DBL,CA,95492,40,H,F,2,,,L1F,L,A,T,2
71274,HHH,FL,33403,31,U,M,3,,,L1F,L,B,C,3
71275,MBC,OTHER,35811,40,H,F,3,,,L1F,L,B,T,2
71276,MON,FL,33063,20,H,M,3,,,L4F,L,A,S,2
71277,DCD,CA,91302,1,H,F,1,,,L1G,L,A,U,1
71278,HCC,GA,30084,13,U,M,3,,,L2E,L,A,S,1
71279,L04,OTHER,89122,18,H,F,2,,,L2F,L,B,S,2
71280,COS,FL,33764,5,U,,3,,,L1E,L,A,U,2
71281,L04,WA,98052,14,U,F,3,,,L3E,L,A,S,1
71282,LHJ,OTHER,29526,35,H,M,3,,Y,L1F,L,C,T,1
71283,BHG,GA,30094,40,H,M,1,,,L3E,L,A,T,2
71284,STR,TX,77336,49,H,F,3,,,L3E,L,A,R,2
71285,CWR,OTHER,89129,35,U,J,3,,,L1F,L,B,T,1
71286,HHH,OTHER,80205,32,H,M,3,,,L1F,L,B,C,3
71287,BHG,FL,32952,18,H,F,3,,,L2F,L,B,S,2
71288,HCC,GA,30337,25,U,F,3,,,L2G,L,A,C,2
71289,MAT,OTHER,68661,45,U,M,3,,,L1F,L,D,R,2
71290,L01,OTHER,50627,53,H,M,3,,,L1G,L,D,R,3
71291,MCO,TX,75158,49,H,M,2,,,L1G,L,A,R,2
71292,UBA,OTHER,38251,45,U,F,2,,,L4D,L,D,R,2
71293,AML,IN,46530,27,U,M,3,,,L1E,L,C,C,2
71294,CSM,CA,91732,6,U,,3,,,L2G,L,A,U,2
71295,SYN,FL,34639,40,U,M,2,,,L1F,L,A,T,2
71296,TIM,OTHER,40220,16,H,M,3,,,L1E,L,B,S,2
71297,DCD,CA,95370,37,H,F,3,,,L4E,L,D,T,2
71298,MBC,OTHER,59323,44,H,F,2,,,L3G,L,D,R,2
71299,DNA,CA,95120,14,H,F,2,,,L2F,L,A,S,1
71300,LIS,TX,76140,39,H,M,3,,,L1F,L,A,T,2
71301,DAT,CA,92308,37,H,M,3,,,L4F,L,A,T,2
71302,PV3,FL,34986,35,U,F,1,,,L4E,L,B,T,1
71303,AML,OTHER,83642,43,H,M,1,,,L1F,L,C,R,2
71304,SGI,FL,34689,30,U,M,3,,,L1F,L,A,C,3
71305,SSS,TX,75932,53,H,M,3,,,L4D,L,D,R,3
71306,DRK,MO,64055,28,H,F,3,,,L4D,L,B,C,2
71307,MBC,TX,77539,40,U,F,3,,Y,L1G,L,A,T,2
71308,ALZ,OTHER,96753,38,U,M,1,,,L1F,L,C,T,2
71309,MBC,GA,30830,43,U,M,3,,,L2F,L,D,R,2
71310,HFS,OTHER,37617,40,U,F,2,,,L1E,L,B,T,2
71311,HCC,CA,90049,4,U,F,2,,,L4G,L,A,U,2
71312,USB,OTHER,83647,41,H,M,3,,,L3D,L,D,T,3
71313,L02,MO,63366,40,U,F,2,,,L1G,L,A,T,2
71314,BHG,OTHER,82601,27,H,M,3,,,L1E,L,C,C,2
71315,CAW,OTHER,29161-,50,U,M,3,,,L2F,L,C,R,3
71316,HCC,WI,53217-,13,H,M,1,,,L1F,L,B,S,1
71317,L11,WA,99169,28,H,M,3,,,L1F,L,D,C,2
71318,L21,OTHER,85242,43,H,M,3,,Y,L1F,L,C,R,2
71319,STR,OTHER,97401,25,U,F,3,,,L1G,L,B,C,2
71320,ARG,NC,28227,18,H,F,3,,,L4E,L,B,S,2
71321,CNT,CA,92307,40,U,F,3,,,L2E,L,A,T,2
71322,MCC,CA,94928,17,H,F,2,,,L3E,L,A,S,2
71323,ASP,FL,32958,37,U,F,2,,,L1G,L,C,T,2
71324,LIS,OTHER,42101,36,H,F,3,,,L4E,L,C,T,2
71325,MIC,MI,48235,10,H,F,2,,Y,L1F,L,A,U,4
71326,STL,TX,78231,15,H,F,3,,,L3G,L,B,S,1
71327,RMG,TX,78641-,42,H,F,2,,,L1G,L,B,R,1
71328,RPH,OTHER,37069,40,U,M,3,,,L4E,L,B,R,2
71329,DNA,OTHER,58301-,36,U,F,2,0,,L4E,L,D,T,2
71330,NAD,OTHER,85735,49,U,M,3,,,L4F,L,B,R,2
71331,BHG,CA,90650,19,H,F,3,,,L1F,L,A,S,2
71332,AGS,CA,90296,3,U,M,3,,,L1F,L,A,U,1
71333,UCA,FL,33134,2,H,M,3,,,L1F,L,A,U,1
71334,SSS,CA,94518,5,U,M,3,,,L2E,L,A,U,2
71335,SYN,TX,76542,39,H,M,2,,Y,L1G,L,C,T,2
71336,TX2,FL,33773,8,U,M,3,,,L1F,L,A,U,3
71337,AML,CA,92117,5,H,M,3,,,L4D,L,A,U,2
71338,SYN,OTHER,97232,3,U,M,3,,,L2F,L,B,U,1
71339,DNA,FL,32801,23,U,F,3,,,L1G,L,B,C,1
71340,PBL,OTHER,87501,24,U,F,3,,,L1F,L,C,C,1
71341,LIS,GA,30906,30,H,M,3,,,L3F,L,B,C,3
71342,ASC,OTHER,80012,18,H,M,3,,,L3D,L,B,S,2
71343,TOR,GA,30047,12,H,M,3,,,L4G,L,A,S,1
71344,MBC,GA,31791,50,U,M,3,,,L4E,L,D,R,3
71345,HAN,IL,61920,34,U,F,3,,,L1F,L,D,T,1
71346,FCR,OTHER,29625,46,U,M,1,,,L1G,L,C,R,2
71347,WKB,OTHER,97401,25,U,F,3,,Y,L1F,L,B,C,2
71348,CRG,OTHER,55442,14,H,F,3,,,L1F,L,A,S,1
71349,BOA,IL,60521,24,H,F,2,0,,L2G,L,A,C,1
71350,MCC,CA,91326,14,U,F,1,,,L2F,L,A,S,1
71351,LIS,FL,33935,45,U,M,1,,,L1F,L,D,R,2
71352,SGI,WA,98110,35,H,F,3,,,L1F,L,C,T,1
71353,LHJ,OTHER,29903,39,H,F,2,,,L1F,L,C,T,2
71354,HOS,MI,48302,24,H,F,3,,,L1F,L,A,C,1
71355,IMP,OTHER,80935,31,U,F,1,,,L4E,L,B,C,3
71356,IMA,CA,90803-,1,H,F,2,,,L2G,L,A,U,1
71357,WKB,OTHER,85217,46,U,M,2,,,L2F,L,C,R,2
71358,GRI,FL,32703,30,H,F,3,,,L4D,L,B,C,3
71359,IMP,MI,48310,12,H,M,3,,,L2E,L,A,S,1
71360,TVF,IL,60647,10,H,F,1,,,L1F,L,A,U,4
71361,HOS,TX,75063-,34,H,F,3,,,L2F,L,A,T,1
71362,AML,OTHER,36610,32,H,M,3,,,L1F,L,B,C,3
71363,DNA,WI,53186,22,H,F,3,,,L2G,L,B,C,1
71364,BHG,MO,64850,47,U,,3,,,L4G,L,C,R,2
71365,RAY,TX,78411,5,H,F,3,,Y,L3G,L,B,U,2
71366,SFW,OTHER,87401,35,H,F,3,,,L1F,L,C,T,1
71367,HOS,WA,98155,17,U,F,3,,,L3G,L,A,S,2
71368,MBC,OTHER,29406,17,H,M,3,,,L1F,L,B,S,2
71369,WRG,OTHER,67037,35,U,F,3,,,L3E,L,B,T,1
71370,AML,OTHER,55105,23,H,M,3,,,L4F,L,A,C,1
71371,IMP,OTHER,85015,7,H,F,3,,,L1F,L,A,U,2
71372,HHH,TX,76504,36,U,F,3,,,L1G,L,C,T,2
71373,ESN,MI,48462,40,H,F,3,,,L1F,L,A,T,2
71374,CNT,OTHER,55951,53,U,M,3,,,L1F,L,D,R,3
71375,BHG,IL,61008,35,U,M,3,,,L1E,L,B,T,1
71376,BRY,FL,32413,40,H,M,2,,,L3E,L,C,T,2
71377,ASC,OTHER,40216,31,H,F,3,,,L1F,L,B,C,3
71378,IMP,OTHER,85351,23,H,U,3,,Y,L2F,L,A,C,1
71379,LIS,IL,60103,18,H,F,3,,,L3F,L,A,S,2
71380,MBC,OTHER,37303,37,H,F,3,,Y,L1E,L,D,T,2
71381,ARG,IL,60103,14,H,M,3,,,L1F,L,A,S,1
71382,BHG,CA,95340,40,H,F,3,,,L2E,L,C,T,2
71383,WIS,NC,27295,49,U,F,3,,,L1F,L,B,R,2
71384,SUN,OTHER,97222,17,H,F,3,,,L1G,L,B,S,2
71385,BHG,OTHER,74447,37,H,M,3,,,L2F,L,D,T,2
71386,DUR,OTHER,85222,40,H,M,2,,Y,L1F,L,C,T,2
71387,NWN,OTHER,57438,53,U,F,2,,,L1F,L,D,R,3
71388,PV3,TX,76657,48,U,M,3,,,L1F,L,C,R,2
71389,ASC,WA,98528,46,U,M,3,,,L1E,L,D,R,2
71390,HCC,IL,60096,18,H,M,3,,,L3F,L,A,S,2
71391,HAN,OTHER,38115,17,U,U,2,,,L1F,L,B,S,2
71392,IDE,OTHER,59718,40,U,,3,,,L3F,L,D,R,2
71393,NAS,CA,92365,49,H,M,2,,,L1F,L,A,R,2
71394,SYN,WI,54872-,45,U,M,1,12,,L2F,L,D,R,2
71395,L02,IN,47905,44,H,F,2,,Y,L1G,L,C,R,2
71396,MBC,NC,28150,36,U,M,3,,,L1F,L,C,T,2
71397,BHG,FL,33715,23,U,F,1,12,,L2F,L,A,C,1
71398,UCA,CA,92336,12,H,F,3,,,L1F,L,A,S,1
71399,LVT,OTHER,67801,36,U,M,3,,,L1G,L,D,T,2
71400,MER,TX,78521,28,H,M,3,,,L4F,L,C,C,2
71401,PRV,CA,91384,38,H,M,3,,Y,L1E,L,A,T,2
71402,OMH,MI,48224,8,U,F,3,,,L1E,L,A,U,3
71403,STV,IL,60482,17,U,F,3,,,L1F,L,A,S,2
71404,IMP,TX,75060,31,U,M,2,,,L1E,L,A,C,3
71405,MCC,CA,93065,22,H,F,2,,,L2F,L,A,C,1
71406,MBC,OTHER,72542,53,U,M,3,,,L3E,L,D,R,3
71407,SUN,IL,61470,43,U,M,3,,,L1G,L,D,R,2
71408,MCO,CA,90404,1,H,M,3,,,L1G,L,A,U,1
71409,AKM,OTHER,74338,51,H,M,3,,,L2F,L,D,R,3
71410,STE,MO,64870,39,U,U,3,,,L1E,L,C,T,2
71411,SSS,CA,93108,13,U,F,1,,,L1G,L,B,S,1
71412,LIS,WI,54538,47,U,F,3,,,L3E,L,D,R,2
71413,TVH,WI,54971,36,H,M,3,,,L1F,L,C,T,2
71414,CNT,NC,27028,47,H,M,3,,,L1G,L,B,R,2
71415,L04,WI,53545,27,U,F,1,,,L4E,L,C,C,2
71416,BOA,CA,94401,3,U,M,3,,,L1G,L,A,U,1
71417,NWF,OTHER,42164,53,U,M,3,,Y,L2E,L,D,R,3
71418,DON,IL,60462,14,H,F,2,,,L1F,L,A,S,1
71419,USB,OTHER,97424,36,H,M,3,,,L1F,L,B,T,2
71420,HCC,IL,61704,24,H,M,3,12,,L1F,L,C,C,1
71421,GUR,WI,53105-,18,H,M,3,12,,L1E,L,A,S,2
71422,NEX,IL,61554,21,H,F,2,,,L4E,L,B,S,3
71423,FRC,OTHER,99709,35,H,F,2,,,L2F,L,C,T,1
71424,BOA,TX,79924,30,H,M,3,,,L1G,L,B,C,3
71425,SIG,GA,30013,39,U,F,3,,,L4E,L,A,T,2
71426,ROA,OTHER,36750,51,H,F,3,,,L1F,L,D,R,3
71427,SUN,CA,92026,26,U,F,3,12,,L2F,L,A,C,2
71428,HOS,OTHER,88008,43,U,F,3,,,L4F,L,C,R,2
71429,COH,WA,98668,21,U,M,3,,,L1F,L,B,S,3
71430,TVH,OTHER,85730,18,H,M,2,,,L3E,L,B,S,2
71431,IMP,OTHER,40383,40,H,M,2,,,L4E,L,B,T,2
71432,OMH,OTHER,36107,30,H,F,3,12,,L2E,L,B,C,3
71433,HOS,FL,33416,31,U,F,2,,,L1F,L,B,C,3
71434,MIC,IL,62040,16,H,F,2,,,L4F,L,A,S,2
71435,SYN,IN,46220,24,H,M,3,,,L2G,L,B,C,1
71436,PCL,WI,53406,12,H,M,3,,Y,L2E,L,B,S,1
71437,ARG,NC,27513,15,H,M,3,,,L1G,L,B,S,1
71438,AML,CA,90403,1,H,M,3,,,L4D,L,A,U,1
71439,DRK,OTHER,80112,14,H,M,2,,Y,L1G,L,B,S,1
71440,AML,OTHER,29212,42,U,U,1,,,L4D,L,B,R,1
71441,SPN,OTHER,85614,23,H,M,3,,,L1E,L,B,C,1
71442,L04,OTHER,14127,26,U,F,3,,Y,L4E,L,B,C,2
71443,AML,IL,60505,30,U,M,2,,,L2F,L,A,C,3
71444,CRG,OTHER,59901,40,U,F,2,,,L2F,L,C,T,2
71445,DNA,OTHER,41006,39,U,M,3,,,L2F,L,D,T,2
71446,SYN,OTHER,73170,18,U,M,2,,,L2G,L,B,S,2
71447,IMP,MI,48063,40,U,M,2,,,L1E,L,A,T,2
71448,SYN,OTHER,35226,13,U,F,3,,,L2G,L,B,S,1
71449,SYN,MO,63051,43,H,F,3,,,L1G,L,A,R,2
71450,ASK,FL,32209,32,H,F,3,,,L1G,L,B,C,3
71451,IWD,TX,77302,41,H,F,3,,,L1G,L,A,T,3
71452,ARG,WA,98006,14,U,M,3,,,L1G,L,A,S,1
71453,SYN,OTHER,89041,48,U,M,3,,,L4E,L,D,R,2
71454,AMB,OTHER,97304,29,H,M,3,,,L2E,L,B,C,2
71455,MCC,MO,64137,13,H,M,3,12,,L1G,L,B,S,1
71456,AMB,TX,76048,40,H,F,3,,,L1E,L,D,T,2
71457,HCC,OTHER,96815,4,H,M,2,,Y,L1F,L,B,U,2
71458,AML,TX,77096,2,U,M,2,,,L1F,L,A,U,1
71459,TRS,GA,30677,35,H,F,3,,,L2F,L,C,T,1
71460,AML,CA,92553,27,H,F,3,,,L4E,L,A,C,2
71461,AML,OTHER,37130,25,U,F,3,,,L4F,L,B,C,2
71462,ASC,NC,27285,41,U,M,2,,,L3D,L,B,T,3
71463,L25,OTHER,85248,23,H,M,3,,,L1G,L,A,C,1
71464,NWN,OTHER,71245,36,H,F,2,,,L1G,L,D,T,2
71465,CNT,OTHER,74137,14,H,F,3,,,L2F,L,B,S,1
71466,AML,OTHER,67468,45,H,M,3,,Y,L1E,L,D,R,2
71467,FRC,CA,92037-,4,U,F,3,,,L4D,L,A,U,2
71468,MCC,IL,61554,18,H,F,2,,,L2E,L,B,S,2
71469,HAN,OTHER,96768,40,U,M,3,,,L1F,L,C,T,2
71470,DHR,GA,30319,23,U,M,3,,,L1G,L,A,C,1
71471,HER,GA,30522,46,U,M,3,,,L2G,L,D,R,2
71472,GOD,MO,64804,27,U,M,3,12,,L3E,L,C,C,2
71473,AML,TX,76255,53,H,M,3,,,L3E,L,D,R,3
71474,SYN,OTHER,67467,45,U,M,3,,,L1F,L,D,R,2
71475,DNA,CA,92625,11,H,M,3,12,,L1F,L,A,S,1
71476,AMB,IN,46032,35,H,M,3,,Y,L2F,L,B,T,1
71477,SMM,MI,48089,10,H,M,3,,,L1F,L,A,U,4
71478,ARG,OTHER,56336,45,U,F,2,,,L1F,L,D,R,2
71479,MBC,TX,78721,4,U,F,3,,,L1F,L,B,U,2
71480,HAM,OTHER,29642,35,H,F,3,,,L2F,L,B,T,1
71481,DNA,IL,62551,49,H,M,3,12,,L1F,L,C,R,2
71482,TVF,OTHER,89122,21,H,F,3,,,L1F,L,B,S,3
71483,L23,OTHER,85032,14,H,M,3,,,L1G,L,A,S,1
71484,LEE,IL,60531,30,H,M,3,,,L3D,L,C,C,3
71485,MAD,OTHER,55033,35,U,F,3,,,L2E,L,A,T,1
71486,HHH,NC,27703,40,H,M,2,,,L1F,L,B,T,2
71487,AML,CA,91384,44,H,F,3,,,L4G,L,A,R,2
71488,AGS,IL,60523,12,H,M,2,,,L1F,L,A,S,1
71489,CHS,CA,93003,24,H,F,3,,,L2G,L,A,C,1
71490,RMG,FL,32808,21,H,F,3,,,L1F,L,B,S,3
71491,DUR,TX,77070,15,H,U,1,,,L3F,L,A,S,1
71492,USB,OTHER,56621,51,U,M,2,,,L4F,L,D,R,3
71493,L06,MO,63033,20,H,F,2,,,L1F,L,A,S,2
71494,SYN,OTHER,29550,47,U,M,3,,,L1G,L,C,R,2
71495,CFI,TX,76904,12,H,F,3,,Y,L4F,L,C,S,1
71496,BRY,MI,48879,49,U,F,3,,,L1G,L,B,R,2
71497,DUR,CA,94533-,24,U,M,3,,,L1F,L,A,C,1
71498,GRI,OTHER,74063,41,H,F,3,,,L2F,L,B,T,3
71499,IMP,OTHER,52324,49,H,M,3,,,L1E,L,D,R,2
71500,SYN,TX,78704,8,H,F,3,,Y,L4D,L,B,U,3
71501,SSS,WA,98577,48,U,F,3,,,L4D,L,D,R,2
71502,MBC,OTHER,50613,25,U,M,1,12,,L1F,L,C,C,2
71503,L25,WA,98382,28,H,M,3,,,L1F,L,C,C,2
71504,BHG,GA,31522,35,H,M,3,,,L2E,L,C,T,1
71505,ESN,GA,31023,35,H,F,3,,,L1F,L,D,T,1
71506,HAN,CA,94030,11,U,F,3,,,L2F,L,A,S,1
71507,PBL,OTHER,71945,51,U,,3,,,L2E,L,D,R,3
71508,L07,OTHER,55060-,40,U,F,3,,,L2F,L,D,T,2
71509,LIS,CA,90604,13,H,M,3,,,L3D,L,A,S,1
71510,AMB,GA,30813,39,U,J,1,,,L3D,L,B,T,2
71511,AGS,FL,32835-,12,H,M,3,,,L2F,L,B,S,1
71512,MB1,OTHER,55352,44,H,M,2,,,L1G,L,A,R,2
71513,,CA,92025-,30,H,M,3,2,,L2F,L,A,C,3
71514,SYN,WA,98092,40,H,F,3,,,L2F,L,A,R,2
71515,UCA,CA,91436,13,H,M,3,,,L1F,L,A,S,1
71516,SYN,OTHER,66048,30,H,F,2,,,L4D,L,B,C,3
71517,MBC,OTHER,83651,39,H,M,3,,,L2G,L,C,T,2
71518,DNA,OTHER,36330,39,U,M,2,,,L2F,L,D,T,2
71519,L01,FL,33411,21,H,M,3,,,L1F,L,B,S,3
71520,L02,CA,93010,24,H,F,3,,,L1G,L,A,C,1
71521,FRC,FL,33324,2,H,F,3,,,L1F,L,A,U,1
71522,RED,NC,27502,42,H,F,3,,Y,L1G,L,B,R,1
71523,AGR,OTHER,80110,16,H,M,2,,,L1F,L,B,S,2
71524,CWR,OTHER,37217-,17,U,F,3,,,L2F,L,B,S,2
71525,DNA,OTHER,71291,28,H,M,3,,Y,L2F,L,C,C,2
71526,D02,TX,78239,24,H,F,3,12,,L1G,L,B,C,1
71527,PV3,OTHER,66215,17,U,M,3,,,L2F,L,B,S,2
71528,SUM,CA,92065,40,H,M,3,,,L1G,L,A,T,2
71529,CNC,OTHER,35244,35,U,F,3,,,L1G,L,B,T,1
71530,MBC,MI,48182,40,U,F,1,,,L1E,L,A,T,2
71531,MAY,OTHER,74965,43,U,M,1,,,L1G,L,D,R,2
71532,ARG,CA,91773,14,H,M,3,,Y,L1G,L,A,S,1
71533,ARG,OTHER,38351,47,U,F,2,,Y,L2F,L,D,R,2
71534,SYN,CA,94518,15,U,F,3,,,L4D,L,A,S,1
71535,HOS,WA,98201,2,U,F,3,,,L1F,L,A,U,1
71536,MCO,OTHER,70433-,27,H,M,3,,,L1F,L,B,C,2
71537,L01,CA,96003,26,H,M,2,,,L2F,L,C,C,2
71538,DRK,TX,78245,18,U,F,3,,,L4D,L,B,S,2
71539,TVF,NC,27407,26,U,M,2,,,L1G,L,B,C,2
71540,MAD,OTHER,85257,13,H,M,2,,,L2G,L,A,S,1
71541,IMP,MO,63005,35,H,M,3,,,L1F,L,A,T,1
71542,HAM,CA,90230,2,H,M,2,,,L1F,L,A,U,1
71543,AML,TX,75150,2,H,F,3,,,L1F,L,A,U,1
71544,HOS,FL,33073,8,H,F,1,,,L1G,L,A,U,3
71545,AGR,GA,30188-,18,H,M,3,,,L1F,L,A,S,2
71546,WAR,FL,33566,39,H,M,3,,,L4F,L,A,T,2
71547,L01,WI,53511-,38,H,M,3,,,L4E,L,C,T,2
71548,ESN,OTHER,1851,43,U,M,3,,,L3F,L,A,R,2
71549,CFI,CA,93010,24,U,F,3,,,L1G,L,A,C,1
71550,MBC,MO,63645,51,H,F,3,12,,L2F,L,D,R,3
71551,MCC,IL,60070,13,H,F,3,,Y,L1F,L,A,S,1
71552,ARG,TX,76502,39,U,M,3,,,L2F,L,C,T,2
71553,CHK,OTHER,89703,25,U,U,3,,,L1F,L,D,C,2
71554,GEN,MO,63128,13,H,M,3,,,L1G,L,A,S,1
71555,TPS,OTHER,66605,35,H,F,3,,,L1G,L,C,T,1
71556,ASC,FL,32789,13,H,U,3,,,L2F,L,B,S,1
71557,STL,IL,62863,36,U,F,2,,,L4E,L,D,T,2
71558,PHO,OTHER,88201,27,H,U,2,,,L1E,L,C,C,2
71559,IMP,IL,62512,49,H,M,2,,,L2G,L,D,R,2
71560,L01,IL,61938,36,H,F,3,,,L1F,L,D,T,2
71561,STV,OTHER,68801,27,U,M,3,,,L4E,L,D,C,2
71562,ARG,MI,48180,16,U,M,3,,,L3E,L,A,S,2
71563,LHJ,CA,90245,15,H,F,2,,,L1F,L,A,S,1
71564,FRC,GA,31411-,24,H,M,3,,,L1G,L,B,C,1
71565,MWD,IN,46228,14,U,F,3,,,L1F,L,B,S,1
71566,IMP,OTHER,51023,45,H,M,3,,,L2E,L,D,R,2
71567,ESN,CA,93003,17,H,F,3,,,L1G,L,A,S,2
71568,SYN,WA,98264,15,U,F,1,,,L2F,L,C,S,1
71569,MM3,FL,33175,6,H,F,3,,,L1F,L,A,U,2
71570,ESN,OTHER,83543,49,U,F,2,,,L1F,L,D,R,2
71571,MBC,OTHER,39572,50,U,F,2,,,L2F,L,C,R,3
71572,GRI,OTHER,85041,41,U,M,2,,,L1F,L,A,T,3
71573,AGR,FL,32934,24,H,F,3,,,L1G,L,B,C,1
71574,DNA,OTHER,38801,40,H,M,3,,,L1F,L,C,T,2
71575,AMB,OTHER,56085,45,H,M,3,,,L2E,L,D,R,2
71576,LIS,FL,32810,16,H,F,3,,,L1F,L,B,S,2
71577,FRC,FL,32257,3,H,F,1,,,L1F,L,B,U,1
71578,HHH,MI,48457,39,U,F,2,,,L3E,L,B,T,2
71579,SIG,FL,33012,30,U,F,2,,,L1F,L,A,C,3
71580,ENQ,CA,90045,1,U,F,3,,,L1F,L,A,U,1
71581,SYN,OTHER,71603,39,H,U,2,,,L1F,L,C,T,2
71582,DUR,CA,90301,9,U,U,2,,,L1F,L,A,U,3
71583,CRG,OTHER,55303,18,H,F,2,,,L1F,L,A,S,2
71584,WAR,CA,93510,35,U,F,2,,,L4F,L,A,T,1
71585,L02,IL,60419,16,H,F,3,,,L1F,L,A,S,2
71586,LIS,IL,60610,1,H,F,3,,,L3D,L,A,U,1
71587,ALZ,WA,98405,5,H,F,3,,,L2F,L,A,U,2
71588,GRI,WA,98390,40,U,F,2,,,L2F,L,A,T,2
71589,DUN,MI,48933,25,U,M,3,,,L2F,L,B,C,2
71590,DCD,FL,33021,13,H,F,3,,,L1F,L,A,S,1
71591,SYN,GA,31021,41,U,M,2,,,L3E,L,D,T,3
71592,AML,CA,94583,24,H,M,3,,,L3G,L,A,C,1
71593,ALD,NC,27344,47,U,F,3,,,L3D,L,D,R,2
71594,IMP,IL,60950,46,H,M,1,,,L2E,L,C,R,2
71595,GRI,GA,31320,47,U,,3,,Y,L1F,L,D,R,2
71596,HHH,CA,95035,12,H,M,2,,,L2F,L,A,S,1
71597,MCC,OTHER,38115,42,U,F,1,,,L2G,L,B,R,1
71598,GUR,OTHER,73045,49,H,F,3,,,L3E,L,B,R,2
71599,WMD,IL,60087,18,H,M,2,,Y,L1G,L,A,S,2
71600,WIG,CA,91106,25,U,F,3,,,L1F,L,A,C,2
71601,ARG,IL,60451,35,U,F,2,,,L3E,L,A,T,1
71602,L01,CA,93536,27,H,M,3,,,L1F,L,A,C,2
71603,DCD,OTHER,71956,51,H,F,2,,,L4D,L,C,R,3
71604,AGR,CA,92620,14,H,F,2,,,L1F,L,A,S,1
71605,HOS,TX,78148,39,H,F,2,,,L1F,L,B,T,2
71606,USB,MI,48326,20,H,M,3,,,L1F,L,A,S,2
71607,ASC,OTHER,80221-,30,H,M,3,,,L2F,L,B,C,3
71608,AMB,TX,77077,15,U,F,1,,Y,L1G,L,A,S,1
71609,DNA,OTHER,80907,26,H,F,3,,,L1G,L,B,C,2
71610,SUN,FL,33803,31,U,F,3,,,L1G,L,B,C,3
71611,WKB,OTHER,74032,49,H,F,2,,,L1F,L,C,R,2
71612,L16,FL,32503,32,U,M,2,,Y,L4E,L,B,C,3
71613,DUR,IL,60652,5,U,,3,,Y,L1E,L,A,U,2
71614,ARG,CA,90638-,5,U,F,3,,,L1F,L,A,U,2
71615,SGI,OTHER,37210,30,H,F,2,,,L1F,L,B,C,3
71616,BHG,IL,61321,40,U,M,3,,,L1E,L,C,R,2
71617,ASC,OTHER,97838-,36,U,F,3,,,L1E,L,C,T,2
71618,FRC,OTHER,72704,40,U,M,3,,,L1F,L,C,R,2
71619,TRL,FL,34134,37,U,M,3,,,L4D,L,C,T,2
71620,PRV,OTHER,80207,16,U,F,3,,,L2F,L,B,S,2
71621,GRI,OTHER,89506,31,H,M,3,,,L1F,L,B,C,3
71622,MBC,OTHER,89502,24,U,M,3,,,L1G,L,B,C,1
71623,BHG,NC,27858,22,U,M,2,,,L3E,L,C,C,1
71624,LHJ,OTHER,50009,14,U,F,3,,,L3E,L,B,S,1
71625,LOB,CA,92128,13,H,F,3,,,L2F,L,A,S,1
71626,LVT,IN,47433,43,U,M,3,,Y,L2F,L,D,R,2
71627,CSM,CA,90712,5,H,F,3,,,L1F,L,A,U,2
71628,HAN,WI,53095,40,U,F,3,,Y,L3D,L,B,T,2
71629,GRT,CA,95973,35,H,M,3,,,L2F,L,C,T,1
71630,MB1,OTHER,83850,43,U,M,3,,,L1F,L,D,R,2
71631,HCC,MO,63056,49,H,M,2,,Y,L1F,L,A,R,2
71632,SGI,FL,32534,40,H,M,3,,,L4F,L,B,T,2
